Virat Kohli,,,,,,,,,,,,
104,80,19,1557,115,25.52,1191,130.73,1,0,6,130,57
#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,
Sandeep Sharma,,,,,,,,,,,,
56,13,12,26,7,26,35,74.29,0,0,0,1,0
56,56,1225,1587,71,20/4,20/4,7.77,22.35,17.25,0,0,
Marcus Stoinis,,,,,,,,,,,,
12,8,1,163,52,23.29,132,123.48,0,0,1,14,4
12,12,201,304,10,15/4,15/4,9.07,30.4,20.1,0,0,
Shardul Thakur,,,,,,,,,,,,
13,4,1,7,7,2.33,9,77.78,0,0,0,1,0
13,13,247,353,12,19/3,19/3,8.57,29.42,20.58,0,0,
Manan Vohra,,,,,,,,,,,,
45,41,2,957,95,24.54,721,132.73,0,0,3,95,35
#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,
Shikhar Dhawan,,,,,,,,,,,,
127,126,17,3561,95,32.67,2922,121.87,0,0,28,401,71
127,6,48,66,4,7/1,7/1,8.25,16.5,12,0,0,
Ricky Bhui,,,,,,,,,,,,
#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#
#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,
Trent Boult,,,,,,,,,,,,
14,1,1,5,5,0,8,62.5,0,0,0,0,0
14,14,335,491,15,19/3,19/3,8.79,32.73,22.33,0,0,
Moises Henriques,,,,,,,,,,,,
57,50,16,969,74,28.5,756,128.17,0,0,5,87,27
57,55,890,1244,38,16/3,16/3,8.39,32.74,23.42,0,0,
Abhimanyu Mithun,,,,,,,,,,,,
16,8,3,34,11,6.8,26,130.77,0,0,0,4,1
16,16,288,472,7,37/2,37/2,9.83,67.43,41.14,0,0,
Siddarth Kaul,,,,,,,,,,,,
21,4,4,9,7,0,13,69.23,0,0,0,0,0
21,21,423,596,22,29/4,29/4,8.45,27.09,19.23,0,0,
Mustafizur Rahman,,,,,,,,,,,,
17,0,0,0,0,0,0,0,0,0,0,0,0
17,17,382,455,17,16/3,16/3,7.15,26.76,22.47,0,0,
Naman Ojha,,,,,,,,,,,,
112,93,19,1553,94,20.99,1309,118.64,0,0,6,121,79
#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,
Karn Sharma,,,,,,,,,,,,
56,34,13,317,39,15.1,274,115.69,0,0,0,18,14
56,55,1034,1323,49,16/4,16/4,7.68,27,21.1,0,0,
Tirumalsetti Suman,,,,,,,,,,,,
43,40,8,676,78,21.12,575,117.57,0,0,2,55,26
43,11,150,197,6,14/2,14/2,7.88,32.83,25,0,0,
David Warner,,,,,,,,,,,,
114,114,15,4014,126,40.55,2824,142.14,3,0,36,402,159
#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,#EANF#,
Yuvraj Singh,,,,,,,,,,,,
120,116,15,2587,83,25.61,1972,131.19,0,0,12,204,141
120,71,857,1054,36,29/4,29/4,7.38,29.28,23.81,0,0,
Ashish Nehra,,,,,,,,,,,,
